2793;74;-2288;1727579715884;world
2789;74;-2284;1727579720983;world
2793;74;-2287;1727579714934;world
2793;74;-2290;1727579716335;world
2787;74;-2284;1727579721383;world
2793;74;-2289;1727579716135;world
2793;74;-2292;1727579717233;world
2785;74;-2284;1727579721783;world
2793;74;-2291;1727579716982;world
2783;74;-2284;1727579589135;world
2793;74;-2294;1727579737481;world
2793;74;-2293;1727579717636;world
2783;74;-2286;1727579731085;world
2793;74;-2295;1727579602085;world
2783;74;-2285;1727579731386;world
2783;74;-2288;1727579728484;world
2791;74;-2295;1727579706684;world
2783;74;-2287;1727579730686;world
2783;74;-2290;1727579728084;world
2789;74;-2295;1727579688805;world
2783;74;-2289;1727579728283;world
2783;74;-2292;1727579727685;world
2787;74;-2295;1727579691587;world
2783;74;-2291;1727579727884;world
2783;74;-2294;1727579727287;world
2785;74;-2295;1727579701485;world
2783;74;-2293;1727579727484;world
2783;74;-2295;1727579584031;world
2793;73;-2284;1727579593085;world
2793;71;-2295;1727579596483;world
2783;71;-2284;1727579587683;world
2789;71;-2295;1727579677731;world
2787;71;-2295;1727579681383;world
2783;71;-2295;1727579582285;world
2793;74;-2284;1727579593536;world
2793;74;-2286;1727579714734;world
2791;74;-2284;1727579720585;world
2793;74;-2285;1727579714537;world
2790;74;-2284;1727579720783;world
2788;74;-2284;1727579721192;world
2783;72;-2284;1727579588183;world
2786;74;-2284;1727579721585;world
2793;72;-2295;1727579597085;world
2784;74;-2284;1727579722382;world
2792;74;-2295;1727579706332;world
2790;74;-2295;1727579707184;world
2789;72;-2295;1727579679684;world
2788;74;-2295;1727579708034;world
2787;72;-2295;1727580690906;world
2786;74;-2295;1727579702631;world
2784;74;-2295;1727579700983;world
2783;72;-2295;1727579582786;world
2793;71;-2284;1727579592135;world
2793;73;-2295;1727579597684;world
2783;73;-2284;1727579588736;world
2789;73;-2295;1727579680135;world
2787;73;-2295;1727579682284;world
2783;73;-2295;1727579583335;world
2793;72;-2284;1727579592587;world
2792;74;-2284;1727579720384;world
